Class,Accuracy,Support
Grandtiger TUV,0.0,4
Grandtiger abroad version,0.125,8
Quick,1.0,5
Quick V5,0.034482758620689655,29
Quick V7,0.18181818181818182,11
Zxauto C3,0.6551724137931034,29
GreenWheel,0.3333333333333333,6
Grandtiger SUV,0.35,20
Qijian A9,0.4583333333333333,24
Zhonghua H220,0.8571428571428571,21
Zhonghua H320,0.32,25
Zhonghua H330,0.16,25
Zhonghua H530,0.65,20
Zhonghua V5,0.16,25
Zhonghua Junjie,0.64,25
Zhonghua Junjie CROSS,0.14285714285714285,7
Zhonghua Junjie FRV,0.3333333333333333,21
Zhonghua Junjie FSV,0.4,5
Zhonghua Junjie Wagon,0.8421052631578947,19
Zhonghua Zunchi,1.0,6
Zhonghua H230,0.3333333333333333,3
Toyota RAV4,0.5,4
Crown,0.0,1
Corolla,1.0,3
Coaster,0.6153846153846154,13
Lcruiser,0.0,3
Prado,0.25,4
Prius,0.0,2
Reiz,0.3125,16
Vios,0.5263157894736842,19
Huaguan,0.15789473684210525,19
FJ Cruiser,0.4230769230769231,26
Venza,0.6,15
Alphard,0.5333333333333333,15
Toyota 4 Rinner,0.4,5
Toyota 86,0.7333333333333333,15
Sequoia,0.3333333333333333,24
Zelas,0.1,10
Coaster abroad version,0.5,10
Previa,0.7142857142857143,21
Saina,1.0,3
Toyota IQ,0.75,20
Toyota Aygo,0.0,15
Avensis,0.6666666666666666,27
Toyota Verso,0.5217391304347826,23
Toyota MR2,0.6428571428571429,28
Toyota FT-HS,0.36363636363636365,22
Undra,0.6666666666666666,21
Toyota Auris,0.3125,32
WISH,0.7083333333333334,24
Toyota FT-86,0.48,25
Highlander abroad version,0.7083333333333334,24
Toyota Fun-Vii,0.5,22
Toyota Hilux,0.8,10
Toyota i-Road,0.5806451612903226,31
Toyota Tacoma,0.4782608695652174,23
Toyota FCV-R,0.6,20
Toyota FT-CH,0.5,2
Toyota Hi-CT,0.7692307692307693,26
Toyota NS4,0.4,25
丰田Avalon,0.5238095238095238,21
Toyota FT-1,0.5238095238095238,21
Toyota Matrix,0.4230769230769231,26
Toyota Urban Cruiser,0.75,20
Toyota 1X,0.32142857142857145,28
Toyota FT-Bh,0.3,20
Toyota FT-EV,0.3448275862068966,29
Toyota ME.WE,0.5833333333333334,12
Toyota RiN,0.5,28
Yuejia,0.0,4
Toyota FCV,0.32,25
YARiS L,0.3333333333333333,6
Camry,0.125,8
Camry hybrid,0.3333333333333333,6
Levin,0.0,2
Yaris,0.3333333333333333,3
EZ,0.7,10
EZ Crossover,0.5454545454545454,11
Highlander,1.0,3
Zhinuo 1E,0.7407407407407407,27
Aifei,0.8064516129032258,31
Jiulong A5,0.5,18
Jiulong A6,0.88,25
Big MPV,0.9047619047619048,21
D-MAX,0.8461538461538461,26
Wulinghongguang,0.36666666666666664,30
Wulingzhiguang,1.0,22
Xingwang,0.6153846153846154,26
Xiaoxuanfeng,0.8,35
Wulingrongguang,0.4,15
AC Schnitzer 1 Class,0.42857142857142855,28
AC Schnitzer 5 Class,0.07142857142857142,14
AC Schnitzer 6 Class,0.6829268292682927,41
AC Schnitzer 7 Class,0.5161290322580645,31
AC Schnitzer MINI,0.7272727272727273,22
AC Schnitzer X1,0.5416666666666666,24
AC Schnitzer X3,0.4,25
AC Schnitzer X5,0.5517241379310345,29
AC Schnitzer X6,0.75,20
AC Schnitzer 3 Class,0.9285714285714286,14
Jiangnan TT,0.4666666666666667,15
Zotye 5008,0.5862068965517241,29
Zotye M300,0.2,5
Zotye T200,0.7142857142857143,7
